Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:46:27 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:46:27 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:46:27 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:46:30 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:46:30 PM
Method: POST | URL: /rate-distributor | Status: 404 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:46:31 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:46:56 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:46:56 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:47:03 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:47:03 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:47:03 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:47:06 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:47:06 PM
Method: POST | URL: /rate-distributor | Status: 404 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:47:08 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:29 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:30 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:30 PM
Method: POST | URL: /rate-distributor | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:32 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:46 PM
Method: GET | URL: /assigned-purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:46 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:46 PM
Method: GET | URL: /assigned-purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:46 PM
Method: GET | URL: / | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:46 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:56 PM
Method: GET | URL: /purchases | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:56 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:53:56 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:06 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:06 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:08 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:08 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:13 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:13 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:13 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:16 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:16 PM
Method: POST | URL: /rate-distributor | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:18 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:23 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:23 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 6:59:23 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:01:11 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:01:11 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:01:48 PM
Method: GET | URL: /products | Status: 401 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:01:48 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:01:57 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:01:58 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:01:58 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:02:00 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:02:00 PM
Method: POST | URL: /rate-distributor | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:02:02 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:02:08 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:02:08 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:02:08 PM
Method: GET | URL: /purchases | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:08:03 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:08:07 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:08:07 PM
Method: POST | URL: /api/login | Status: 200 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:08:12 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:08:12 PM
Method: GET | URL: /products | Status: 304 | Response Time: 0ms | Time Stamp: 3/11/2025, 7:08:12 PM
